Category,Group,Type,Hide From Reports,1992-01-01,1992-02-01,1992-03-01,1992-04-01,1992-05-01,1992-06-01,1992-07-01,1992-08-01,1992-09-01,1992-10-01,1992-11-01,1992-12-01,1993-01-01,1993-02-01,1993-03-01,1993-04-01,1993-05-01,1993-06-01,1993-07-01,1993-08-01,1993-09-01,1993-10-01,1993-11-01,1993-12-01,1994-01-01,1994-02-01,1994-03-01,1994-04-01,1994-05-01,1994-06-01,1994-07-01,1994-08-01,1994-09-01,1994-10-01,1994-11-01,1994-12-01,1995-01-01,1995-02-01,1995-03-01,1995-04-01,1995-05-01,1995-06-01,1995-07-01,1995-08-01,1995-09-01,1995-10-01,1995-11-01,1995-12-01
Coffee,Food,Expense,,85,90,95,100,103,105,107,103,100,95,100,110,89,94,99,104,107,109,111,107,104,99,104,114,93,98,103,108,111,113,115,111,108,103,108,118,97,102,107,112,115,117,119,115,112,107,112,122
Automobile Fuel,Transportation,Expense,,175,170,165,155,150,155,170,180,185,180,170,165,183,178,173,163,158,163,178,188,193,188,178,173,191,186,181,171,166,171,186,196,201,196,186,181,199,194,189,179,174,179,194,204,209,204,194,189
Auto Insurance,Insurance,Expense,,95,95,95,95,95,95,95,95,95,95,95,95,99,99,99,99,99,99,99,99,99,99,99,99,103,103,103,103,103,103,103,103,103,103,103,103,107,107,107,107,107,107,107,107,107,107,107,107
Shopping,Shopping,Expense,,220,260,280,330,355,370,390,360,340,330,400,480,235,275,295,345,370,385,405,375,355,345,415,495,250,290,310,360,385,400,420,390,370,360,430,510,265,305,325,375,400,415,435,405,385,375,445,525
Home Supplies,Maintenance,Expense,,110,110,110,110,110,110,110,110,110,110,110,110,116,116,116,116,116,116,116,116,116,116,116,116,122,122,122,122,122,122,122,122,122,122,122,122,128,128,128,128,128,128,128,128,128,128,128,128
Medical,Health,Expense,,85,85,85,85,85,85,85,85,85,85,85,85,90,90,90,90,90,90,90,90,90,90,90,90,95,95,95,95,95,95,95,95,95,95,95,95,100,100,100,100,100,100,100,100,100,100,100,100
Pet Care,Household,Expense,,65,65,65,65,65,65,65,65,65,65,65,65,68,68,68,68,68,68,68,68,68,68,68,68,71,71,71,71,71,71,71,71,71,71,71,71,74,74,74,74,74,74,74,74,74,74,74,74
Travel,Travel,Expense,,60,80,140,280,340,390,460,440,360,290,180,480,72,92,152,292,352,402,472,452,372,302,192,492,84,104,164,304,364,414,484,464,384,314,204,504,96,116,176,316,376,426,496,476,396,326,216,516
Given Gift,Donations,Expense,,10,10,20,30,40,40,50,50,60,70,100,230,12,12,22,32,42,42,52,52,62,72,102,232,14,14,24,34,44,44,54,54,64,74,104,234,16,16,26,36,46,46,56,56,66,76,106,236
Charitable Giving,Donations,Expense,,55,55,55,55,55,55,55,55,55,55,55,55,58,58,58,58,58,58,58,58,58,58,58,58,61,61,61,61,61,61,61,61,61,61,61,61,64,64,64,64,64,64,64,64,64,64,64,64
Streaming Subscription,Entertainment,Expense,,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
Cloud Subscription,Software,Expense,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Music Subscription,Entertainment,Expense,,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
News Subscription,Entertainment,Expense,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Fitness Subscription,Health,Expense,,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
Meal Kit Subscription,Food,Expense,,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Transfer,Transfer,Transfer,Hide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
