Unnamed: 0,Date,Time,Account,Account #,Account ID,Balance ID,Institution,Balance,Month,Week,Type,Class,Account Status,Date Added
15,06/20/1992,1992-06-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-001,Harbor Card,$970.00,06/01/1992,06/15/1992,Credit,Liability,Active,05/01/1992
16,06/20/1992,1992-06-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-001,Harbor Card,"$1,240.00",06/01/1992,06/15/1992,Credit,Liability,Active,05/01/1992
17,06/20/1992,1992-06-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-001,Northstar Investments,"$66,960.00",06/01/1992,06/15/1992,Investment,Asset,Active,05/01/1992
18,06/20/1992,1992-06-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-001,Northstar Investments,"$7,255.00",06/01/1992,06/15/1992,Depository,Asset,Active,05/01/1992
19,06/20/1992,1992-06-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-001,Northstar Investments,"$14,370.00",06/01/1992,06/15/1992,Investment,Asset,Active,05/01/1992
20,06/20/1992,1992-06-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-001,Northstar Investments,"$99,550.00",06/01/1992,06/15/1992,Investment,Asset,Active,05/01/1992
21,06/20/1992,1992-06-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-001,Northstar Investments,"$23,440.00",06/01/1992,06/15/1992,Investment,Asset,Active,05/01/1992
22,06/20/1992,1992-06-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-001,Aurora Bank,"$169,305.00",06/01/1992,06/15/1992,Loan,Liability,Active,05/01/1992
23,06/20/1992,1992-06-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-001,Aurora Bank,"$11,385.00",06/01/1992,06/15/1992,Loan,Liability,Active,05/01/1992
24,07/20/1992,1992-07-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-002,Aurora Bank,"$3,710.00",07/01/1992,07/20/1992,Depository,Asset,Active,05/01/1992
25,07/20/1992,1992-07-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-002,Aurora Bank,"$8,600.00",07/01/1992,07/20/1992,Depository,Asset,Active,05/01/1992
26,07/20/1992,1992-07-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-002,Aurora Bank,"$2,310.00",07/01/1992,07/20/1992,Depository,Asset,Active,05/01/1992
27,07/20/1992,1992-07-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-002,Harbor Card,"$1,840.00",07/01/1992,07/20/1992,Credit,Liability,Active,05/01/1992
28,07/20/1992,1992-07-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-002,Harbor Card,$630.00,07/01/1992,07/20/1992,Credit,Liability,Active,05/01/1992
29,07/20/1992,1992-07-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-002,Northstar Investments,"$64,020.00",07/01/1992,07/20/1992,Investment,Asset,Active,05/01/1992
30,07/20/1992,1992-07-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-002,Northstar Investments,"$6,990.00",07/01/1992,07/20/1992,Depository,Asset,Active,05/01/1992
31,07/20/1992,1992-07-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-002,Northstar Investments,"$13,570.00",07/01/1992,07/20/1992,Investment,Asset,Active,05/01/1992
32,07/20/1992,1992-07-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-002,Northstar Investments,"$96,000.00",07/01/1992,07/20/1992,Investment,Asset,Active,05/01/1992
33,07/20/1992,1992-07-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-002,Northstar Investments,"$22,400.00",07/01/1992,07/20/1992,Investment,Asset,Active,05/01/1992
34,07/20/1992,1992-07-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-002,Aurora Bank,"$168,835.00",07/01/1992,07/20/1992,Loan,Liability,Active,05/01/1992
35,07/20/1992,1992-07-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-002,Aurora Bank,"$11,450.00",07/01/1992,07/20/1992,Loan,Liability,Active,05/01/1992
36,08/20/1992,1992-08-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-003,Aurora Bank,"$4,275.00",08/01/1992,08/17/1992,Depository,Asset,Active,05/01/1992
37,08/20/1992,1992-08-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-003,Aurora Bank,"$10,360.00",08/01/1992,08/17/1992,Depository,Asset,Active,05/01/1992
38,08/20/1992,1992-08-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-003,Aurora Bank,"$3,245.00",08/01/1992,08/17/1992,Depository,Asset,Active,05/01/1992
39,08/20/1992,1992-08-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-003,Harbor Card,$920.00,08/01/1992,08/17/1992,Credit,Liability,Active,05/01/1992
40,08/20/1992,1992-08-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-003,Harbor Card,"$1,480.00",08/01/1992,08/17/1992,Credit,Liability,Active,05/01/1992
41,08/20/1992,1992-08-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-003,Northstar Investments,"$70,080.00",08/01/1992,08/17/1992,Investment,Asset,Active,05/01/1992
42,08/20/1992,1992-08-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-003,Northstar Investments,"$7,785.00",08/01/1992,08/17/1992,Depository,Asset,Active,05/01/1992
43,08/20/1992,1992-08-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-003,Northstar Investments,"$15,090.00",08/01/1992,08/17/1992,Investment,Asset,Active,05/01/1992
44,08/20/1992,1992-08-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-003,Northstar Investments,"$105,650.00",08/01/1992,08/17/1992,Investment,Asset,Active,05/01/1992
45,08/20/1992,1992-08-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-003,Northstar Investments,"$24,720.00",08/01/1992,08/17/1992,Investment,Asset,Active,05/01/1992
46,08/20/1992,1992-08-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-003,Aurora Bank,"$168,015.00",08/01/1992,08/17/1992,Loan,Liability,Active,05/01/1992
47,08/20/1992,1992-08-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-003,Aurora Bank,"$10,855.00",08/01/1992,08/17/1992,Loan,Liability,Active,05/01/1992
48,09/20/1992,1992-09-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-004,Aurora Bank,"$3,700.00",09/01/1992,09/14/1992,Depository,Asset,Active,05/01/1992
49,09/20/1992,1992-09-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-004,Aurora Bank,"$8,880.00",09/01/1992,09/14/1992,Depository,Asset,Active,05/01/1992
50,09/20/1992,1992-09-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-004,Aurora Bank,"$2,220.00",09/01/1992,09/14/1992,Depository,Asset,Active,05/01/1992
51,09/20/1992,1992-09-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-004,Harbor Card,"$1,460.00",09/01/1992,09/14/1992,Credit,Liability,Active,05/01/1992
52,09/20/1992,1992-09-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-004,Harbor Card,$520.00,09/01/1992,09/14/1992,Credit,Liability,Active,05/01/1992
53,09/20/1992,1992-09-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-004,Northstar Investments,"$64,340.00",09/01/1992,09/14/1992,Investment,Asset,Active,05/01/1992
54,09/20/1992,1992-09-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-004,Northstar Investments,"$7,180.00",09/01/1992,09/14/1992,Depository,Asset,Active,05/01/1992
55,09/20/1992,1992-09-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-004,Northstar Investments,"$13,660.00",09/01/1992,09/14/1992,Investment,Asset,Active,05/01/1992
56,09/20/1992,1992-09-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-004,Northstar Investments,"$98,100.00",09/01/1992,09/14/1992,Investment,Asset,Active,05/01/1992
57,09/20/1992,1992-09-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-004,Northstar Investments,"$22,890.00",09/01/1992,09/14/1992,Investment,Asset,Active,05/01/1992
58,09/20/1992,1992-09-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-004,Aurora Bank,"$167,560.00",09/01/1992,09/14/1992,Loan,Liability,Active,05/01/1992
59,09/20/1992,1992-09-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-004,Aurora Bank,"$10,940.00",09/01/1992,09/14/1992,Loan,Liability,Active,05/01/1992
60,10/20/1992,1992-10-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-005,Aurora Bank,"$4,435.00",10/01/1992,10/19/1992,Depository,Asset,Active,05/01/1992
61,10/20/1992,1992-10-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-005,Aurora Bank,"$10,330.00",10/01/1992,10/19/1992,Depository,Asset,Active,05/01/1992
62,10/20/1992,1992-10-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-005,Aurora Bank,"$3,915.00",10/01/1992,10/19/1992,Depository,Asset,Active,05/01/1992
63,10/20/1992,1992-10-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-005,Harbor Card,$670.00,10/01/1992,10/19/1992,Credit,Liability,Active,05/01/1992
64,10/20/1992,1992-10-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-005,Harbor Card,"$1,070.00",10/01/1992,10/19/1992,Credit,Liability,Active,05/01/1992
65,10/20/1992,1992-10-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-005,Northstar Investments,"$68,900.00",10/01/1992,10/19/1992,Investment,Asset,Active,05/01/1992
66,10/20/1992,1992-10-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-005,Northstar Investments,"$7,915.00",10/01/1992,10/19/1992,Depository,Asset,Active,05/01/1992
67,10/20/1992,1992-10-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-005,Northstar Investments,"$15,130.00",10/01/1992,10/19/1992,Investment,Asset,Active,05/01/1992
68,10/20/1992,1992-10-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-005,Northstar Investments,"$104,850.00",10/01/1992,10/19/1992,Investment,Asset,Active,05/01/1992
69,10/20/1992,1992-10-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-005,Northstar Investments,"$24,530.00",10/01/1992,10/19/1992,Investment,Asset,Active,05/01/1992
70,10/20/1992,1992-10-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-005,Aurora Bank,"$166,835.00",10/01/1992,10/19/1992,Loan,Liability,Active,05/01/1992
71,10/20/1992,1992-10-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-005,Aurora Bank,"$10,525.00",10/01/1992,10/19/1992,Loan,Liability,Active,05/01/1992
72,11/20/1992,1992-11-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-006,Aurora Bank,"$3,940.00",11/01/1992,11/16/1992,Depository,Asset,Active,05/01/1992
73,11/20/1992,1992-11-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-006,Aurora Bank,"$11,210.00",11/01/1992,11/16/1992,Depository,Asset,Active,05/01/1992
74,11/20/1992,1992-11-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-006,Aurora Bank,"$2,890.00",11/01/1992,11/16/1992,Depository,Asset,Active,05/01/1992
75,11/20/1992,1992-11-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-006,Harbor Card,"$1,680.00",11/01/1992,11/16/1992,Credit,Liability,Active,05/01/1992
76,11/20/1992,1992-11-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-006,Harbor Card,"$1,320.00",11/01/1992,11/16/1992,Credit,Liability,Active,05/01/1992
77,11/20/1992,1992-11-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-006,Northstar Investments,"$72,660.00",11/01/1992,11/16/1992,Investment,Asset,Active,05/01/1992
78,11/20/1992,1992-11-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-006,Northstar Investments,"$8,440.00",11/01/1992,11/16/1992,Depository,Asset,Active,05/01/1992
79,11/20/1992,1992-11-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-006,Northstar Investments,"$16,010.00",11/01/1992,11/16/1992,Investment,Asset,Active,05/01/1992
80,11/20/1992,1992-11-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-006,Northstar Investments,"$109,400.00",11/01/1992,11/16/1992,Investment,Asset,Active,05/01/1992
81,11/20/1992,1992-11-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-006,Northstar Investments,"$25,900.00",11/01/1992,11/16/1992,Investment,Asset,Active,05/01/1992
82,11/20/1992,1992-11-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-006,Aurora Bank,"$166,370.00",11/01/1992,11/16/1992,Loan,Liability,Active,05/01/1992
83,11/20/1992,1992-11-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-006,Aurora Bank,"$10,650.00",11/01/1992,11/16/1992,Loan,Liability,Active,05/01/1992
84,12/20/1992,1992-12-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-007,Aurora Bank,"$4,295.00",12/01/1992,12/14/1992,Depository,Asset,Active,05/01/1992
85,12/20/1992,1992-12-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-007,Aurora Bank,"$10,140.00",12/01/1992,12/14/1992,Depository,Asset,Active,05/01/1992
86,12/20/1992,1992-12-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-007,Aurora Bank,"$3,695.00",12/01/1992,12/14/1992,Depository,Asset,Active,05/01/1992
87,12/20/1992,1992-12-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-007,Harbor Card,"$1,030.00",12/01/1992,12/14/1992,Credit,Liability,Active,05/01/1992
88,12/20/1992,1992-12-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-007,Harbor Card,$570.00,12/01/1992,12/14/1992,Credit,Liability,Active,05/01/1992
89,12/20/1992,1992-12-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-007,Northstar Investments,"$68,520.00",12/01/1992,12/14/1992,Investment,Asset,Active,05/01/1992
90,12/20/1992,1992-12-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-007,Northstar Investments,"$7,485.00",12/01/1992,12/14/1992,Depository,Asset,Active,05/01/1992
91,12/20/1992,1992-12-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-007,Northstar Investments,"$14,850.00",12/01/1992,12/14/1992,Investment,Asset,Active,05/01/1992
92,12/20/1992,1992-12-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-007,Northstar Investments,"$104,950.00",12/01/1992,12/14/1992,Investment,Asset,Active,05/01/1992
93,12/20/1992,1992-12-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-007,Northstar Investments,"$23,590.00",12/01/1992,12/14/1992,Investment,Asset,Active,05/01/1992
94,12/20/1992,1992-12-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-007,Aurora Bank,"$165,555.00",12/01/1992,12/14/1992,Loan,Liability,Active,05/01/1992
95,12/20/1992,1992-12-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-007,Aurora Bank,"$9,975.00",12/01/1992,12/14/1992,Loan,Liability,Active,05/01/1992
96,01/20/1993,1993-01-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-008,Aurora Bank,"$3,740.00",01/01/1993,01/18/1993,Depository,Asset,Active,05/01/1992
97,01/20/1993,1993-01-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-008,Aurora Bank,"$9,480.00",01/01/1993,01/18/1993,Depository,Asset,Active,05/01/1992
98,01/20/1993,1993-01-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-008,Aurora Bank,"$2,350.00",01/01/1993,01/18/1993,Depository,Asset,Active,05/01/1992
99,01/20/1993,1993-01-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-008,Harbor Card,"$1,570.00",01/01/1993,01/18/1993,Credit,Liability,Active,05/01/1992
100,01/20/1993,1993-01-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-008,Harbor Card,$970.00,01/01/1993,01/18/1993,Credit,Liability,Active,05/01/1992
101,01/20/1993,1993-01-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-008,Northstar Investments,"$72,680.00",01/01/1993,01/18/1993,Investment,Asset,Active,05/01/1992
102,01/20/1993,1993-01-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-008,Northstar Investments,"$8,480.00",01/01/1993,01/18/1993,Depository,Asset,Active,05/01/1992
103,01/20/1993,1993-01-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-008,Northstar Investments,"$14,290.00",01/01/1993,01/18/1993,Investment,Asset,Active,05/01/1992
104,01/20/1993,1993-01-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-008,Northstar Investments,"$102,800.00",01/01/1993,01/18/1993,Investment,Asset,Active,05/01/1992
105,01/20/1993,1993-01-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-008,Northstar Investments,"$25,680.00",01/01/1993,01/18/1993,Investment,Asset,Active,05/01/1992
106,01/20/1993,1993-01-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-008,Aurora Bank,"$165,085.00",01/01/1993,01/18/1993,Loan,Liability,Active,05/01/1992
107,01/20/1993,1993-01-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-008,Aurora Bank,"$10,040.00",01/01/1993,01/18/1993,Loan,Liability,Active,05/01/1992
108,02/20/1993,1993-02-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-009,Aurora Bank,"$4,465.00",02/01/1993,02/15/1993,Depository,Asset,Active,05/01/1992
109,02/20/1993,1993-02-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-009,Aurora Bank,"$11,680.00",02/01/1993,02/15/1993,Depository,Asset,Active,05/01/1992
110,02/20/1993,1993-02-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-009,Aurora Bank,"$4,055.00",02/01/1993,02/15/1993,Depository,Asset,Active,05/01/1992
111,02/20/1993,1993-02-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-009,Harbor Card,$970.00,02/01/1993,02/15/1993,Credit,Liability,Active,05/01/1992
112,02/20/1993,1993-02-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-009,Harbor Card,"$1,240.00",02/01/1993,02/15/1993,Credit,Liability,Active,05/01/1992
113,02/20/1993,1993-02-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-009,Northstar Investments,"$67,240.00",02/01/1993,02/15/1993,Investment,Asset,Active,05/01/1992
114,02/20/1993,1993-02-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-009,Northstar Investments,"$8,215.00",02/01/1993,02/15/1993,Depository,Asset,Active,05/01/1992
115,02/20/1993,1993-02-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-009,Northstar Investments,"$16,210.00",02/01/1993,02/15/1993,Investment,Asset,Active,05/01/1992
116,02/20/1993,1993-02-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-009,Northstar Investments,"$111,150.00",02/01/1993,02/15/1993,Investment,Asset,Active,05/01/1992
117,02/20/1993,1993-02-20 08:00:00,Roth IRA,xxxx4002,demo-account-RI10,bal-demo-account-ri10-009,Northstar Investments,"$24,640.00",02/01/1993,02/15/1993,Investment,Asset,Active,05/01/1992
118,02/20/1993,1993-02-20 08:00:00,Home Loan,xxxx5001,demo-account-HL11,bal-demo-account-hl11-009,Aurora Bank,"$164,265.00",02/01/1993,02/15/1993,Loan,Liability,Active,05/01/1992
119,02/20/1993,1993-02-20 08:00:00,Auto Loan,xxxx5002,demo-account-AL12,bal-demo-account-al12-009,Aurora Bank,"$9,445.00",02/01/1993,02/15/1993,Loan,Liability,Active,05/01/1992
120,03/20/1993,1993-03-20 08:00:00,Main Checking,xxxx1001,demo-account-MC01,bal-demo-account-mc01-010,Aurora Bank,"$4,070.00",03/01/1993,03/15/1993,Depository,Asset,Active,05/01/1992
121,03/20/1993,1993-03-20 08:00:00,Emergency Savings,xxxx1002,demo-account-ES02,bal-demo-account-es02-010,Aurora Bank,"$10,680.00",03/01/1993,03/15/1993,Depository,Asset,Active,05/01/1992
122,03/20/1993,1993-03-20 08:00:00,Travel Fund,xxxx1003,demo-account-TF03,bal-demo-account-tf03-010,Aurora Bank,"$2,910.00",03/01/1993,03/15/1993,Depository,Asset,Active,05/01/1992
123,03/20/1993,1993-03-20 08:00:00,Everyday Card,xxxx2001,demo-account-EC04,bal-demo-account-ec04-010,Harbor Card,"$1,840.00",03/01/1993,03/15/1993,Credit,Liability,Active,05/01/1992
124,03/20/1993,1993-03-20 08:00:00,Travel Rewards Card,xxxx2002,demo-account-TR05,bal-demo-account-tr05-010,Harbor Card,$630.00,03/01/1993,03/15/1993,Credit,Liability,Active,05/01/1992
125,03/20/1993,1993-03-20 08:00:00,Brokerage Account,xxxx3001,demo-account-BA06,bal-demo-account-ba06-010,Northstar Investments,"$73,800.00",03/01/1993,03/15/1993,Investment,Asset,Active,05/01/1992
126,03/20/1993,1993-03-20 08:00:00,Health Savings Account,xxxx3002,demo-account-HS07,bal-demo-account-hs07-010,Northstar Investments,"$9,010.00",03/01/1993,03/15/1993,Depository,Asset,Active,05/01/1992
127,03/20/1993,1993-03-20 08:00:00,Education Fund,xxxx3003,demo-account-EF08,bal-demo-account-ef08-010,Northstar Investments,"$15,410.00",03/01/1993,03/15/1993,Investment,Asset,Active,05/01/1992
128,03/20/1993,1993-03-20 08:00:00,Workplace 401(k),xxxx4001,demo-account-WK09,bal-demo-account-wk09-010,Northstar Investments,"$107,600.00",03/01/1993,03/15/1993,Investment,Asset,Active,05/01/1992
